
nk	Name	English Name	Country	Population	Remark
307	Chandīgarh	Chandigarh	India	1,630,000	
307	Columbus	Columbus	United States of America	1,630,000	
307	Linyi	Linyi	China	1,630,000	
307	Palembang	Palembang	Indonesia	1,630,000	
307	Torino	Turin	Italy	1,630,000	
312	Abuja	Abuja	Nigeria	1,620,000	
313	Glasgow	Glasgow	Great Britain	1,610,000	
313	Lomé	Lomé	Togo	1,610,000	
315	Novosibirsk	Novosibirsk	Russia	1,600,000	
315	Shīrāz	Shiraz	Iran	1,600,000	
317	Al-Mawṣil	Mosul	Iraq	1,590,000	
317	Lyon	Lyon	France	1,590,000	
317	Madurai	Madurai	India	1,590,000	
317	Virginia Beach	Virginia Beach	United States of America	1,590,000	incl. Norfolk
321	Gwangju	Kwangju	Korea (South)	1,580,000	
321	Hengyang	Hengyang	China	1,580,000	
321	Marseille	Marseille	France	1,580,000	
324	Sendai	Sendai	Japan	1,570,000	
324	Tabrīz	Tabriz	Iran	1,570,000	
326	Jekaterinburg	Yekaterinburg	Russia	1,560,000	
326	Kitakyūshū	Kitakyushu	Japan	1,560,000	
326	Rājkot	Rajkot	India	1,560,000	
326	Valencia	Valencia	Spain	1,560,000	
326	Vārānasi	Benares	India	1,560,000	
331	Daejeon	Taejon	Korea (South)	1,550,000	
332	Milwaukee	Milwaukee	United States of America	1,540,000	
333	Sheffield	Sheffield	Great Britain	1,520,000	
334	Baoding	Baoding	China	1,510,000	
334	Bhubaneswar	Bhubaneswar	India	1,510,000	incl. Cuttack
334	Córdoba	Córdoba	Argentina	1,510,000	
337	Ciudad Juárez	Ciudad Juárez	Mexico	1,500,000	
337	Xiangyang	Xiangyang	China	1,500,000	
339	København	Copenhagen	Denmark	1,490,000	
340	Benin City	Benin City	Nigeria	1,480,000	
340	Jilin	Jilin	China	1,480,000	
342	Asansol	Asansol	India	1,470,000	
342	George Town	George Town	Malaysia	1,470,000	
342	Raleigh	Raleigh	United States of America	1,470,000	
342	Yiwu	Yiwu	China	1,470,000	
342	Zhuhai	Zhuhai	China	1,470,000	
347	Datong	Datong	China	1,460,000	
347	Gaziantep	Gaziantep	Turkey	1,460,000	
349	Donėc'k	Donetsk	Ukraine	1,450,000	
349	Jamshedpur	Jamshedpur	India	1,450,000	
349	Newcastle upon Tyne	Newcastle upon Tyne	Great Britain	1,450,000	
352	São Luís	São Luís	Brazil	1,440,000	
353	Auckland	Auckland	New Zealand	1,430,000	
353	Okayama	Okayama	Japan	1,430,000	
353	Praha	Prague	Czech Republic	1,430,000	
356	Volgograd	Volgograd	Russia	1,420,000	
356	Yinchuan	Yinchuan	China	1,420,000	
358	Al-Manāmah	Manama	Bahrain	1,400,000	
358	Dnipropėtrovs'k	Dnepropetrovsk	Ukraine	1,400,000	
358	Srīnagar	Srinagar	India	1,400,000	
361	Beograd	Belgrade	Serbia	1,390,000	
362	Denpasar	Denpasar	Indonesia	1,380,000	
362	Malang	Malang	Indonesia	1,380,000	
364	Jabalpur	Jabalpur	India	1,370,000	
364	Natal	Natal	Brazil	1,370,000	
366	Čel'abinsk	Chelyabinsk	Russia	1,360,000	
367	Freetown	Freetown	Sierra Leone	1,350,000	
367	Maracay	Maracay	Venezuela	1,350,000	
369	Bayrūt	Beirut	Lebanon	1,330,000	
369	Ciudad de Panamá	Panama City	Panama	1,330,000	
369	Nottingham	Nottingham	Great Britain	1,330,000	
369	Torreón	Torreón	Mexico	1,330,000	
373	Allahābād	Allahabad	India	1,320,000	
373	Aurangābād	Aurangabad	India	1,320,000	
373	Buffalo	Buffalo	United States of America	1,320,000	incl. St. Catharines (Canada)
373	Calgary	Calgary	Canada	1,320,000	
373	Jacksonville	Jacksonville	United States of America	1,320,000	
373	Jieyang	Jieyang	China	1,320,000	
373	Nashville	Nashville	United States of America	1,320,000	
373	Ottawa	Ottawa	Canada	1,320,000	
373	Samara	Samara	Russia	1,320,000	
382	Al-Baṣrah	Basra	Iraq	1,310,000	
382	Ash-Shāriqah	Sharjah	United Arab Emirates	1,310,000	
382	Harrisburg	Harrisburg	United States of America	1,310,000	incl. Lancaster, York
382	Qiqihar	Qiqihar	China	1,310,000	
382	Sofija	Sofia	Bulgaria	1,310,000	
382	Tbilisi	Tbilisi	Georgia	1,310,000	
388	Cotonou	Cotonou	Benin	1,300,000	
388	Dhanbād	Dhanbad	India	1,300,000	
388	Dublin	Dublin	Ireland	1,300,000	
388	Rosario	Rosario	Argentina	1,300,000	
392	Tainan	Tainan	Taiwan (Rep. of China)	1,290,000	
392	Ṭarābulus	Tripoli	Libya	1,290,000	
394	Amritsar	Amritsar	India	1,280,000	
394	Davao	Davao	Philippines	1,280,000	
394	Handan	Handan	China	1,280,000	
394	Weifang	Weifang	China	1,280,000	
398	Adelaide	Adelaide	Australia	1,270,000	
398	Cartagena	Cartagena	Colombia	1,270,000	
398	Maceió	Maceió	Brazil	1,270,000	
398	Managua	Managua	Nicaragua	1,270,000	
398	McAllen	McAllen	United States of America	1,270,000	incl. Brownsville
403	Jodhpur	Jodhpur	India	1,260,000	
403	Monrovia	Monrovia	Liberia	1,260,000	
